,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,更新日：2023年4月28日,,,
食　品　群,食　品　番　号,索　引　番　号,可　　食　　部　　 100　　g　　当　　た　　り,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,可　　食　　部　　 100　 g　　当　　た　　り,,,,,,,,,,,,,,,,,,,,,,,,,,,,備　　考,,,
,,,食　品　名,廃　棄　率,エネルギー,,水　分,たんぱく質,,脂質,,,炭水化物,,,,,,,,有機酸,"灰

分",無 機 質,,,,,,,,,,無機質,,,,ビ　　タ　　ミ　　ン　　,,,,,,,,,,,,,,,,,,,,,,アルコール,食塩相当量,,,,
,,,,,,,,"アミノ酸組成による
たんぱく質",たんぱく質,"脂肪酸の
トリアシルグリセロール当量",コレステロール,脂質,利用可能炭水化物,,,,,食物繊維総量,糖アルコール,炭水化物,,,ナ ト リ ウ ム,カ　リ　ウ　ム,カ ル シ ウ ム,マ グ ネ シ ウ ム,リ　ン,鉄,亜　鉛,銅,マ　ン　ガ　ン,,ヨ　ウ　素,セ　レ　ン,ク　ロ　ム,モリブデン,ビタミンA,,,,,,      ビタミンD,ビタミンE,,,,ビタミンK,"ビ
タ
ミ
ン
Ｂ１","ビ
タ
ミ
ン
B２",ナイアシン,ナイアシン当量,"ビ
タ
ミ
ン
Ｂ６","ビ
タ
ミ
ン
Ｂ１２",葉　酸,パントテン酸,ビ オ チ ン,ビタミンC,,,,,,
,,,,,,,,,,,,,"利用可能炭水化物
（単糖当量）",,"利用可能炭水化物
（質量計）","差引き法による
利用可能炭水化物　",,,,,,,,,,,,,,,,,,,,,,,,,,レチノール活性当量,,α|トコフェロール,β|トコフェロール,γ|トコフェロール,δ|トコフェロール,,,,,,,,,,,,,,,,,
17,17012,2300,＜調味料類＞　（食塩類）　食塩,0,0,0,0.1,-,0,-,(0),0,-,,-,0,*,(0),-,0,-,99.9,39000,100,22,18,(0),Tr,Tr,0.01,Tr,,1,1,0,0,(0),-,-,-,(0),(0),(0),-,-,-,-,(0),(0),(0),(0),0,(0),(0),(0),(0),0,(0),-,99.5,"塩事業センター及び日本塩工業会の品質規格では塩化ナトリウム99 %以上
(100 g：83mL、100 mL：120g)",,,
17,17013,2301,＜調味料類＞　（食塩類）　並塩,0,0,0,1.8,-,0,-,(0),0,-,,-,0,*,(0),-,0,-,98.2,38000,160,55,73,(0),Tr,Tr,0.02,Tr,,-,-,-,-,(0),-,-,-,(0),(0),(0),-,-,-,-,(0),(0),(0),(0),0,(0),(0),(0),(0),-,(0),-,97.3,"別名： あら塩
塩事業センター及び日本塩工業会の品質規格では塩化ナトリウム95 %以上
(100 g：111mL、100 mL：90g)",,,
17,17146,2302,＜調味料類＞　（食塩類）　減塩タイプ食塩　調味料含む,0,217,50,Tr,-,(0),-,(0),(0),-,,-,0,*,0,-,(16.7),16.7,(83.2),19000,19000,2,240,(0),0.1,Tr,0,0.02,,-,-,0,-,(0),-,-,-,(0),(0),(0),-,-,-,-,(0),(0),(0),(0),0,(0),(0),(0),(0),-,(0),-,49.4,"別名：減塩塩
調味料（無機塩、有機酸）を含む",,,
17,17147,2303,＜調味料類＞　（食塩類）　減塩タイプ食塩　調味料不使用,0,0,0,2.0,-,(0),-,(0),(0),-,,-,0,*,0,-,0,-,(98.0),18000,25000,390,530,(0),0.1,Tr,0,0.02,,-,-,0,-,(0),-,-,-,(0),(0),(0),-,-,-,-,(0),(0),(0),(0),0,(0),(0),(0),(0),-,(0),-,45.7,"別名：減塩塩
塩化カリウムを含む",,,
17,17014,2304,＜調味料類＞　（食塩類）　精製塩　家庭用,0,0,0,Tr,-,0,-,(0),0,-,,-,0,*,(0),-,0,-,100,39000,2,0,87,(0),0,0,Tr,0,,-,-,-,-,(0),-,-,-,(0),(0),(0),-,-,-,-,(0),(0),(0),(0),0,(0),(0),(0),(0),-,(0),-,99.6,"塩事業センターの品質規格では塩化ナトリウム99.5 %以上
(100 g：83mL、100 mL：120g)",,,
17,17089,2305,＜調味料類＞　（食塩類）　精製塩　業務用,0,0,0,Tr,-,0,-,(0),0,-,,-,0,*,(0),-,0,-,100,39000,2,0,0,(0),0,0,Tr,0,,-,-,-,-,(0),-,-,-,(0),(0),(0),-,-,-,-,(0),(0),(0),(0),0,(0),(0),(0),(0),-,(0),-,99.6,"塩事業センターの品質規格では塩化ナトリウム99.5 %以上
(100 g：83mL、100 mL：120g)",,,
17,17090,2306,＜調味料類＞　（食酢類）　黒酢,0,230,54,85.7,-,1.0,-,(0),0,-,,-,9.0,*,(0),-,9.0,4.0,0.2,10,47,5,21,52,0.2,0.3,0.01,0.55,,0,0,2,9,(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),0.02,0.01,0.6,0.8,0.06,0.1,1,0.07,1.0,(0),-,0,,,,
17,17015,2307,＜調味料類＞　（食酢類）　穀物酢,0,104,25,93.3,-,0.1,-,(0),0,-,,-,2.4,*,(0),-,2.4,4.2,Tr,6,4,2,1,2,Tr,0.1,Tr,-,,0,0,1,1,0,-,-,-,0,0,(0),-,-,-,-,(0),0.01,0.01,0.1,0.1,0.01,0.1,0,0,0.1,0,-,0,(100 g：100mL、100 mL：100g),,,
17,17016,2308,＜調味料類＞　（食酢類）　米酢,0,193,46,87.9,-,0.2,-,(0),0,-,,-,7.4,*,(0),-,7.4,4.4,0.1,12,16,2,6,15,0.1,0.2,Tr,-,,0,Tr,1,4,0,-,-,-,0,0,(0),-,-,-,-,(0),0.01,0.01,0.3,0.3,0.02,0.1,0,0.08,0.4,0,-,0,(100 g：100mL、100 mL：100g),,,
17,17091,2309,＜調味料類＞　（食酢類）　果実酢　バルサミコ酢,0,419,99,74.2,-,0.5,-,(0),0,(16.4),,(16.4),19.4,*,(0),-,19.4,5.6,0.4,29,140,17,11,22,0.7,0.1,0.01,0.13,,2,0,5,2,(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),0.01,0.01,0.2,0.2,0.05,Tr,Tr,0.03,1.4,(0),-,0.1,(100 g：100mL、100 mL：100g),,,
